Run,GPS_code,Site,Treatment,salvia left,encelia_left,bromus_left,brassica_left,Total_eaten,Day_set_out,Day_collected,Days_Out,Notes
Ja22,JL_Jan22_S2,2,BR+,12,18,12,0,38,1/22/2018,1/24/2018,2,
Ja22,JL_Jan22_S3,3,C,19,20,17,18,6,1/22/2018,1/24/2018,2,
Ja22,JL_Jan22_S3,3,A+,20,20,20,20,0,1/22/2018,1/24/2018,2,
Ja22,JL_Jan22_S3,3,BR+,20,19,20,15,6,1/22/2018,1/24/2018,2,
Ja22,JL_Jan22_S4,4,C,15,20,20,20,5,1/22/2018,1/24/2018,2,
Ja22,JL_Jan22_S4,4,A+,19,20,20,19,2,1/22/2018,1/24/2018,2,
Ja22,JL_Jan22_S4,4,BR+,19,20,20,19,2,1/22/2018,1/24/2018,2,
Ja22,JL_Jan22_S5,5,C,20,20,20,20,0,1/22/2018,1/24/2018,2,
Ja22,JL_Jan22_S5,5,A+,17,19,18,20,6,1/22/2018,1/24/2018,2,
Ja22,JL_Jan22_S5,5,BR+,20,18,19,6,17,1/22/2018,1/24/2018,2,
Ja22,JL_Jan22_S6,6,C,20,20,18,18,4,1/22/2018,1/24/2018,2,
Ja22,JL_Jan22_S6,6,A+,20,20,20,20,0,1/22/2018,1/24/2018,2,
Ja22,JL_Jan22_S6,6,BR+,20,20,20,18,2,1/22/2018,1/24/2018,2,
Ja27,JL_Jan27_S1,1,C,20,20,20,20,0,1/27/2018,1/28/2018,1,
Ja27,JL_Jan27_S1,1,A+,20,20,20,20,0,1/27/2018,1/28/2018,1,
Ja27,JL_Jan27_S1,1,BR+,17,20,1,17,25,1/27/2018,1/28/2018,1,
Ja27,JL_Jan27_S2,2,C,20,20,20,20,0,1/27/2018,1/29/2018,2,
Ja27,JL_Jan27_S2,2,A+,19,20,19,20,2,1/27/2018,1/29/2018,2,
Ja27,JL_Jan27_S2,2,BR+,20,18,20,20,2,1/27/2018,1/29/2018,2,
Ja27,JL_Jan27_S3,3,C,20,20,20,20,0,1/27/2018,1/29/2018,2,
Ja27,JL_Jan27_S3,3,A+,20,20,20,20,0,1/27/2018,1/29/2018,2,
Ja27,JL_Jan27_S3,3,BR+,20,18,20,18,4,1/27/2018,1/29/2018,2,
Ja27,JL_Jan27_S4,4,C,20,20,20,20,0,1/27/2018,1/28/2018,1,
Ja27,JL_Jan27_S4,4,A+,20,20,20,20,0,1/27/2018,1/28/2018,1,
Ja27,JL_Jan27_S4,4,BR+,17,20,18,20,5,1/27/2018,1/28/2018,1,
